id,title,description,link,image_link,condition,price,availability,brand,google_product_category,product_type
solstice,Solstice – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art featuring a dramatic sunburst design with bold rays radiating outward from a central circle to fill the entire frame. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang. Pairs beautifully with any design in the NorthernCraft collection.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Solstice.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
bloom,Bloom – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art with an intricate mandala-style floral pattern. A central flower is surrounded by overlapping petals and circular frames for rich layered detail. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Bloom.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
petal,Petal – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art with an art deco-inspired layered petal design. A bold fan of overlapping leaf shapes rises from a central bud, framed by square corner accents. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Petal.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
quarry,Quarry – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art with a bold architectural maze pattern. Concentric squares and diamonds step inward to a strong central focal point, creating a structured and graphic composition. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Quarry.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
meadow,Meadow – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art featuring an open mandala with large sweeping petal forms that overlap to create a full floral bloom. Airy and organic with a soft, natural energy. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Meadow.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
summit,Summit – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art with a sharp eight-pointed star design. Geometric triangles radiate outward from a central circle with clean, angular precision inspired by mountain peaks. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Summit.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
grove,Grove – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art featuring a dense interlocking ring pattern that forms a circular medallion. Overlapping ovals weave together to create a sense of depth and continuous movement. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Grove.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
flora,Flora – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art with a minimalist four-petal flower design. Large rounded petals open outward with clean circular arcs for a modern botanical feel. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Flora.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
north,North – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art with a compass rose design. Dramatic fan-like rays from each corner converge at a central octagon, creating a bold directional pattern with a classic New England sensibility. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/North.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
blossom,Blossom – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art with a graceful eight-petal open flower set within a clean circular ring. Simple, elegant, and timeless — a standout piece on its own or as part of a gallery wall. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Blossom.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
rosette,Rosette – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art featuring a classic rosette pattern. Overlapping petal loops fill a circular frame set within the square panel for a refined, medallion-like finish. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Rosette.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
flare,Flare – Geometric Wood Wall Art,"Handcrafted laser-cut wood wall art with a dynamic starburst design. A diamond-shaped inner frame surrounds the central circle as bold rays flare outward in all directions. Natural birch overlay on a deep plum stained wood backing. Approximately 8"" square. Ready to hang.",https://northerncraftnh.com/#collection,https://northerncraftnh.com/Products/Flare.jpg,new,35.00 USD,in_stock,NorthernCraft,Home & Garden > Decor > Artwork > Decorative Sculptures,Wall Art > Wood Wall Art
